iter,step,x,y,timestamp
100,0,-0.00072,-0.60559,2026-02-10 16-37-25
100,10,0.01683,-0.63129,2026-02-10 16-37-25
100,20,0.05343,-0.67098,2026-02-10 16-37-25
100,30,0.10073,-0.70838,2026-02-10 16-37-25
100,40,0.15229,-0.73824,2026-02-10 16-37-25
100,50,0.20314,-0.75996,2026-02-10 16-37-25
100,60,0.24941,-0.77466,2026-02-10 16-37-25
100,70,0.28817,-0.78386,2026-02-10 16-37-25
100,80,0.28850,-0.78899,2026-02-10 16-37-25
100,90,0.28696,-0.79117,2026-02-10 16-37-25
100,100,0.29350,-0.79123,2026-02-10 16-37-25
100,110,0.29421,-0.78977,2026-02-10 16-37-25
100,120,0.28326,-0.78718,2026-02-10 16-37-25
100,130,0.25892,-0.78374,2026-02-10 16-37-25
100,140,0.22157,-0.77966,2026-02-10 16-37-25
100,150,0.17286,-0.77508,2026-02-10 16-37-25
100,160,0.11517,-0.77015,2026-02-10 16-37-25
100,170,0.05136,-0.76498,2026-02-10 16-37-25
100,180,-0.01544,-0.75968,2026-02-10 16-37-25
100,190,-0.08208,-0.75437,2026-02-10 16-37-25
100,200,-0.14559,-0.74911,2026-02-10 16-37-25
100,210,-0.20327,-0.74397,2026-02-10 16-37-25
100,220,-0.25286,-0.73899,2026-02-10 16-37-25
100,230,-0.29252,-0.73415,2026-02-10 16-37-25
100,240,-0.28858,-0.72943,2026-02-10 16-37-25
100,250,-0.28813,-0.72480,2026-02-10 16-37-25
100,260,-0.29318,-0.72017,2026-02-10 16-37-25
100,270,-0.29115,-0.71550,2026-02-10 16-37-25
100,280,-0.27697,-0.71071,2026-02-10 16-37-25
100,290,-0.24935,-0.70577,2026-02-10 16-37-25
100,300,-0.20902,-0.70066,2026-02-10 16-37-25
100,310,-0.15783,-0.69539,2026-02-10 16-37-25
100,320,-0.09836,-0.68998,2026-02-10 16-37-25
100,330,-0.03357,-0.68450,2026-02-10 16-37-25
100,340,0.03334,-0.67902,2026-02-10 16-37-25
100,350,0.09926,-0.67359,2026-02-10 16-37-25
100,360,0.16124,-0.66829,2026-02-10 16-37-25
100,370,0.21673,-0.66314,2026-02-10 16-37-25
100,380,0.26355,-0.65817,2026-02-10 16-37-25
100,390,0.30000,-0.65335,2026-02-10 16-37-25
100,400,0.28445,-0.64864,2026-02-10 16-37-25
100,410,0.28776,-0.64400,2026-02-10 16-37-25
100,420,0.29165,-0.63936,2026-02-10 16-37-25
100,430,0.28639,-0.63466,2026-02-10 16-37-25
100,440,0.26829,-0.62983,2026-02-10 16-37-25
100,450,0.23681,-0.62484,2026-02-10 16-37-25
100,460,0.19307,-0.61968,2026-02-10 16-37-25
100,470,0.13916,-0.61436,2026-02-10 16-37-25
100,480,0.07780,-0.60892,2026-02-10 16-37-25
100,490,0.01206,-0.60343,2026-02-10 16-37-25
100,500,-0.05488,-0.59796,2026-02-10 16-37-25
100,510,-0.11994,-0.59257,2026-02-10 16-37-25
100,520,-0.18028,-0.58731,2026-02-10 16-37-25
100,530,-0.23344,-0.58221,2026-02-10 16-37-25
100,540,-0.27740,-0.57728,2026-02-10 16-37-25
100,550,-0.29530,-0.57250,2026-02-10 16-37-25
100,560,-0.28635,-0.56782,2026-02-10 16-37-25
100,570,-0.29152,-0.56319,2026-02-10 16-37-25
100,580,-0.29344,-0.55854,2026-02-10 16-37-25
100,590,-0.28463,-0.55380,2026-02-10 16-37-25
100,600,-0.26258,-0.54893,2026-02-10 16-37-25
100,610,-0.22734,-0.54389,2026-02-10 16-37-25
