iter,step,x,y,timestamp
-4,0,-0.00410,-0.71122,2026-02-10 14-17-37
-4,10,-0.03316,-0.72617,2026-02-10 14-17-37
-4,20,-0.07787,-0.75009,2026-02-10 14-17-37
-4,30,-0.11969,-0.77384,2026-02-10 14-17-37
-4,40,-0.15264,-0.79418,2026-02-10 14-17-37
-4,50,-0.17602,-0.81049,2026-02-10 14-17-37
-4,60,-0.19109,-0.82314,2026-02-10 14-17-37
-4,70,-0.19955,-0.83280,2026-02-10 14-17-37
-4,80,-0.20295,-0.84014,2026-02-10 14-17-37
-4,90,-0.20254,-0.84573,2026-02-10 14-17-37
-4,100,-0.19918,-0.85002,2026-02-10 14-17-37
-4,110,-0.19351,-0.85337,2026-02-10 14-17-37
-4,120,-0.18594,-0.85603,2026-02-10 14-17-37
-4,130,-0.17676,-0.85819,2026-02-10 14-17-37
-4,140,-0.16622,-0.85999,2026-02-10 14-17-37
-4,150,-0.15453,-0.86151,2026-02-10 14-17-37
-4,160,-0.14194,-0.86283,2026-02-10 14-17-37
-4,170,-0.12869,-0.86399,2026-02-10 14-17-37
-4,180,-0.11506,-0.86502,2026-02-10 14-17-37
-4,190,-0.10128,-0.86593,2026-02-10 14-17-37
-4,200,-0.08757,-0.86673,2026-02-10 14-17-37
-4,210,-0.07408,-0.86744,2026-02-10 14-17-37
-4,220,-0.06088,-0.86805,2026-02-10 14-17-37
-4,230,-0.04797,-0.86857,2026-02-10 14-17-37
-4,240,-0.03528,-0.86901,2026-02-10 14-17-37
-4,250,-0.02269,-0.86936,2026-02-10 14-17-37
-4,260,-0.01002,-0.86963,2026-02-10 14-17-37
-4,270,0.00288,-0.86982,2026-02-10 14-17-37
-4,280,0.01618,-0.86995,2026-02-10 14-17-37
-4,290,0.02997,-0.87000,2026-02-10 14-17-37
-4,300,0.04429,-0.86998,2026-02-10 14-17-37
-4,310,0.05908,-0.86990,2026-02-10 14-17-37
-4,320,0.07422,-0.86975,2026-02-10 14-17-37
-4,330,0.08951,-0.86952,2026-02-10 14-17-37
-4,340,0.10470,-0.86921,2026-02-10 14-17-37
-4,350,0.11957,-0.86881,2026-02-10 14-17-37
-4,360,0.13389,-0.86831,2026-02-10 14-17-37
-4,370,0.14751,-0.86769,2026-02-10 14-17-37
-4,380,0.16032,-0.86693,2026-02-10 14-17-37
-4,390,0.17230,-0.86600,2026-02-10 14-17-37
-4,400,0.18347,-0.86488,2026-02-10 14-17-37
-4,410,0.19392,-0.86353,2026-02-10 14-17-37
-4,420,0.20377,-0.86192,2026-02-10 14-17-37
-4,430,0.21314,-0.86002,2026-02-10 14-17-37
-4,440,0.22215,-0.85783,2026-02-10 14-17-37
-4,450,0.23088,-0.85532,2026-02-10 14-17-37
-4,460,0.23939,-0.85250,2026-02-10 14-17-37
-4,470,0.24768,-0.84940,2026-02-10 14-17-37
-4,480,0.25571,-0.84605,2026-02-10 14-17-37
-4,490,0.26339,-0.84249,2026-02-10 14-17-37
-4,500,0.27061,-0.83875,2026-02-10 14-17-37
-4,510,0.27725,-0.83488,2026-02-10 14-17-37
