iter,step,x,y,timestamp
400,0,-0.00072,-0.67096,2026-02-11 06-02-29
400,10,0.01683,-0.69305,2026-02-11 06-02-29
400,20,0.05343,-0.72729,2026-02-11 06-02-29
400,30,0.10073,-0.75974,2026-02-11 06-02-29
400,40,0.15229,-0.78585,2026-02-11 06-02-29
400,50,0.20314,-0.80508,2026-02-11 06-02-29
400,60,0.24941,-0.81836,2026-02-11 06-02-29
400,70,0.28817,-0.82696,2026-02-11 06-02-29
400,80,0.28850,-0.83209,2026-02-11 06-02-29
400,90,0.28696,-0.83470,2026-02-11 06-02-29
400,100,0.29350,-0.83551,2026-02-11 06-02-29
400,110,0.29421,-0.83503,2026-02-11 06-02-29
400,120,0.28326,-0.83362,2026-02-11 06-02-29
400,130,0.25892,-0.83151,2026-02-11 06-02-29
400,140,0.22157,-0.82888,2026-02-11 06-02-29
400,150,0.17286,-0.82586,2026-02-11 06-02-29
400,160,0.11517,-0.82256,2026-02-11 06-02-29
400,170,0.05136,-0.81907,2026-02-11 06-02-29
400,180,-0.01544,-0.81549,2026-02-11 06-02-29
400,190,-0.08208,-0.81188,2026-02-11 06-02-29
400,200,-0.14559,-0.80830,2026-02-11 06-02-29
400,210,-0.20327,-0.80480,2026-02-11 06-02-29
400,220,-0.25286,-0.80139,2026-02-11 06-02-29
400,230,-0.29252,-0.79809,2026-02-11 06-02-29
400,240,-0.28858,-0.79487,2026-02-11 06-02-29
400,250,-0.28813,-0.79170,2026-02-11 06-02-29
400,260,-0.29318,-0.78854,2026-02-11 06-02-29
400,270,-0.29115,-0.78535,2026-02-11 06-02-29
400,280,-0.27697,-0.78208,2026-02-11 06-02-29
400,290,-0.24935,-0.77870,2026-02-11 06-02-29
400,300,-0.20902,-0.77521,2026-02-11 06-02-29
400,310,-0.15783,-0.77161,2026-02-11 06-02-29
400,320,-0.09836,-0.76791,2026-02-11 06-02-29
400,330,-0.03357,-0.76417,2026-02-11 06-02-29
400,340,0.03334,-0.76042,2026-02-11 06-02-29
400,350,0.09926,-0.75671,2026-02-11 06-02-29
400,360,0.16124,-0.75309,2026-02-11 06-02-29
400,370,0.21673,-0.74957,2026-02-11 06-02-29
400,380,0.26355,-0.74617,2026-02-11 06-02-29
400,390,0.30000,-0.74287,2026-02-11 06-02-29
400,400,0.28445,-0.73966,2026-02-11 06-02-29
400,410,0.28776,-0.73649,2026-02-11 06-02-29
400,420,0.29165,-0.73332,2026-02-11 06-02-29
400,430,0.28639,-0.73010,2026-02-11 06-02-29
400,440,0.26829,-0.72680,2026-02-11 06-02-29
400,450,0.23681,-0.72339,2026-02-11 06-02-29
400,460,0.19307,-0.71986,2026-02-11 06-02-29
400,470,0.13916,-0.71623,2026-02-11 06-02-29
400,480,0.07780,-0.71251,2026-02-11 06-02-29
400,490,0.01206,-0.70876,2026-02-11 06-02-29
400,500,-0.05488,-0.70502,2026-02-11 06-02-29
400,510,-0.11994,-0.70133,2026-02-11 06-02-29
400,520,-0.18028,-0.69774,2026-02-11 06-02-29
400,530,-0.23344,-0.69425,2026-02-11 06-02-29
400,540,-0.27740,-0.69089,2026-02-11 06-02-29
400,550,-0.29530,-0.68762,2026-02-11 06-02-29
400,560,-0.28635,-0.68442,2026-02-11 06-02-29
400,570,-0.29152,-0.68126,2026-02-11 06-02-29
400,580,-0.29344,-0.67808,2026-02-11 06-02-29
400,590,-0.28463,-0.67484,2026-02-11 06-02-29
400,600,-0.26258,-0.67151,2026-02-11 06-02-29
400,610,-0.22734,-0.66806,2026-02-11 06-02-29
400,620,-0.18036,-0.66450,2026-02-11 06-02-29
400,630,-0.12397,-0.66084,2026-02-11 06-02-29
400,640,-0.06100,-0.65711,2026-02-11 06-02-29
400,650,0.00543,-0.65336,2026-02-11 06-02-29
400,660,0.07214,-0.64963,2026-02-11 06-02-29
400,670,0.13610,-0.64596,2026-02-11 06-02-29
400,680,0.19458,-0.64240,2026-02-11 06-02-29
400,690,0.24524,-0.63895,2026-02-11 06-02-29
400,700,0.28619,-0.63561,2026-02-11 06-02-29
400,710,0.28720,-0.63237,2026-02-11 06-02-29
400,720,0.28532,-0.62919,2026-02-11 06-02-29
400,730,0.29086,-0.62602,2026-02-11 06-02-29
400,740,0.29016,-0.62283,2026-02-11 06-02-29
400,750,0.27760,-0.61956,2026-02-11 06-02-29
400,760,0.25160,-0.61620,2026-02-11 06-02-29
400,770,0.21272,-0.61272,2026-02-11 06-02-29
400,780,0.16272,-0.60912,2026-02-11 06-02-29
400,790,0.10408,-0.60543,2026-02-11 06-02-29
400,800,0.03977,-0.60168,2026-02-11 06-02-29
400,810,-0.02707,-0.59792,2026-02-11 06-02-29
400,820,-0.09329,-0.59419,2026-02-11 06-02-29
400,830,-0.15592,-0.59053,2026-02-11 06-02-29
400,840,-0.21234,-0.58696,2026-02-11 06-02-29
400,850,-0.26034,-0.58349,2026-02-11 06-02-29
400,860,-0.29815,-0.58011,2026-02-11 06-02-29
400,870,-0.28643,-0.57678,2026-02-11 06-02-29
400,880,-0.28905,-0.57344,2026-02-11 06-02-29
400,890,-0.29378,-0.57004,2026-02-11 06-02-29
400,900,-0.28998,-0.56650,2026-02-11 06-02-29
400,910,-0.27353,-0.56274,2026-02-11 06-02-29
400,920,-0.24364,-0.55868,2026-02-11 06-02-29
400,930,-0.20127,-0.55425,2026-02-11 06-02-29
400,940,-0.14845,-0.54937,2026-02-11 06-02-29
400,950,-0.08783,-0.54397,2026-02-11 06-02-29
400,960,-0.02243,-0.53795,2026-02-11 06-02-29
400,970,0.04455,-0.53123,2026-02-11 06-02-29
400,980,0.11002,-0.52367,2026-02-11 06-02-29
400,990,0.17111,-0.51510,2026-02-11 06-02-29
400,1000,0.22530,-0.50531,2026-02-11 06-02-29
400,1010,0.27051,-0.49404,2026-02-11 06-02-29
400,1020,0.29550,-0.48097,2026-02-11 06-02-29
400,1030,0.28390,-0.47205,2026-02-11 06-02-29
400,1040,0.28905,-0.47019,2026-02-11 06-02-29
400,1050,0.29216,-0.47144,2026-02-11 06-02-29
400,1060,0.28506,-0.47070,2026-02-11 06-02-29
400,1070,0.26487,-0.47069,2026-02-11 06-02-29
400,1080,0.23146,-0.47066,2026-02-11 06-02-29
400,1090,0.18619,-0.47062,2026-02-11 06-02-29
400,1100,0.13134,-0.47058,2026-02-11 06-02-29
400,1110,0.06975,-0.47053,2026-02-11 06-02-29
400,1120,0.00456,-0.47049,2026-02-11 06-02-29
400,1130,-0.06099,-0.47046,2026-02-11 06-02-29
400,1140,-0.12377,-0.47044,2026-02-11 06-02-29
400,1150,-0.18091,-0.47043,2026-02-11 06-02-29
400,1160,-0.22992,-0.47044,2026-02-11 06-02-29
400,1170,-0.26874,-0.47047,2026-02-11 06-02-29
400,1180,-0.29573,-0.47051,2026-02-11 06-02-29
