iter,timestamp,tag,w0,w1,w2,w3,w4,w5,w6,w7,w8,w9,w10,w11,w12,w13,w14,w15,w16,w17,w18,w19
-2,2026-03-01 22-38-01,proposed,32.61537214139705,47.85108580829282,43.8893204504424,26.68011895976915,-3.5840636866443396,-32.63279080893619,-49.21746010652942,-47.00273379315724,-26.83456085056812,3.5834642257010443,-17.125902522489625,-5.3802325637517985,8.448840106189643,18.987087026304213,22.31734061332397,17.125836601216424,5.3928550126131185,-8.40001388553152,-18.984362976327937,-22.317331124489915
-2,2026-03-01 22-40-01,executed,32.61537214139705,47.85108580829282,43.8893204504424,26.68011895976915,-3.5840636866443396,-32.63279080893619,-49.21746010652942,-47.00273379315724,-26.83456085056812,3.5834642257010443,-17.125902522489625,-5.3802325637517985,8.448840106189643,18.987087026304213,22.31734061332397,17.125836601216424,5.3928550126131185,-8.40001388553152,-18.984362976327937,-22.317331124489915
-1,2026-03-01 22-40-01,proposed,-19.79134383668471,-27.14830609309469,-18.448171598545,-0.8176135955443746,18.594030164380108,27.86952712982237,20.210263724791385,10.214640806182802,0.20341466066732997,-9.807768815078653,-5.556118721379384,-21.301257858606345,-27.48140024639436,-28.70296529816282,-28.454980501250887,-22.250583366004122,-6.268932580414658,10.925709904725622,22.062057129356447,11.642341232219087
-1,2026-03-01 22-45-01,executed,-19.79134383668471,-27.14830609309469,-18.448171598545,-0.8176135955443746,18.594030164380108,27.86952712982237,20.210263724791385,10.214640806182802,0.20341466066732997,-9.807768815078653,-5.556118721379384,-21.301257858606345,-27.48140024639436,-28.70296529816282,-28.454980501250887,-22.250583366004122,-6.268932580414658,10.925709904725622,22.062057129356447,11.642341232219087
0,2026-03-01 22-45-02,proposed,23.02261562922145,33.77723704114788,30.980696788547615,18.83302514807234,-2.5299273082195377,-23.03491115924908,-34.741736545785486,-33.17840032458158,-18.94204295334219,2.5295041593183822,-27.4014440359834,-8.608372102002836,13.518144169903461,30.379339242086697,35.70774498131835,27.401338561946318,8.628568020180985,-13.440022216850425,-30.37498076212473,-35.70772979918387
0,2026-03-01 22-52-36,executed,23.02261562922145,33.77723704114788,30.980696788547615,18.83302514807234,-2.5299273082195377,-23.03491115924908,-34.741736545785486,-33.17840032458158,-18.94204295334219,2.5295041593183822,-27.4014440359834,-8.608372102002836,13.518144169903461,30.379339242086697,35.70774498131835,27.401338561946318,8.628568020180985,-13.440022216850425,-30.37498076212473,-35.70772979918387
1,2026-03-01 22-52-57,proposed,45.0,35.0,25.0,15.0,5.0,-5.0,-15.0,-25.0,-35.0,-45.0,30.0,20.0,10.0,0.0,-10.0,-20.0,-30.0,-20.0,-10.0,0.0
1,2026-03-01 22-58-43,executed,45.0,35.0,25.0,15.0,5.0,-5.0,-15.0,-25.0,-35.0,-45.0,30.0,20.0,10.0,0.0,-10.0,-20.0,-30.0,-20.0,-10.0,0.0
2,2026-03-01 22-58-58,proposed,27.6271,40.5326,37.1769,22.5996,-3.0359,-27.6419,-41.69,-39.8141,-22.7304,3.0354,-32.8817,-10.3301,16.2217,36.4552,42.8492,32.8815,10.3543,-16.128,-36.45,-42.8492
2,2026-03-01 23-06-44,executed,27.6271,40.5326,37.1769,22.5996,-3.0359,-27.6419,-41.69,-39.8141,-22.7304,3.0354,-32.8817,-10.3301,16.2217,36.4552,42.8492,32.8815,10.3543,-16.128,-36.45,-42.8492
3,2026-03-01 23-06-54,proposed,30.0,20.0,10.0,0.0,-10.0,-20.0,-30.0,-40.0,-30.0,-20.0,20.0,10.0,0.0,-10.0,-20.0,-30.0,-20.0,-10.0,0.0,10.0
3,2026-03-01 23-14-12,executed,30.0,20.0,10.0,0.0,-10.0,-20.0,-30.0,-40.0,-30.0,-20.0,20.0,10.0,0.0,-10.0,-20.0,-30.0,-20.0,-10.0,0.0,10.0
4,2026-03-01 23-14-31,proposed,45.0,35.0,20.0,5.0,-5.0,-20.0,-35.0,-40.0,-25.0,0.0,-45.0,-25.0,-5.0,15.0,35.0,45.0,30.0,10.0,-10.0,-30.0
4,2026-03-01 23-17-55,executed,45.0,35.0,20.0,5.0,-5.0,-20.0,-35.0,-40.0,-25.0,0.0,-45.0,-25.0,-5.0,15.0,35.0,45.0,30.0,10.0,-10.0,-30.0
5,2026-03-01 23-18-11,proposed,-45.0,-35.0,-25.0,-15.0,-5.0,5.0,15.0,25.0,35.0,45.0,-39.458,-12.3961,19.466,43.7462,51.419,39.4578,12.4252,-19.3536,-43.74,-51.419
5,2026-03-01 23-23-35,executed,-45.0,-35.0,-25.0,-15.0,-5.0,5.0,15.0,25.0,35.0,45.0,-39.458,-12.3961,19.466,43.7462,51.419,39.4578,12.4252,-19.3536,-43.74,-51.419
6,2026-03-01 23-23-49,proposed,-30.0,-20.0,-10.0,0.0,10.0,20.0,30.0,40.0,45.0,45.0,0.0,30.0,0.0,-30.0,0.0,30.0,0.0,-30.0,0.0,30.0
